,ref,name,publisher,year,score
0,http://cpcgamereviews.com/a/index.html#aaargh,Aaargh!,Melbourne House,1989,5
1,http://cpcgamereviews.com/a/index.html#la_abadia_del_crimen,La Abad&iacute;a del Crimen,Opera Soft,1988,10
2,http://cpcgamereviews.com/a/index.html#the_abduction_of_oscar_z,The Abduction of Oscar Z,Dreamin'bits,2020,10
3,http://cpcgamereviews.com/a/index.html#abu_simbel_profanation,Abu Simbel Profanation,Dinamic,1986,6
4,http://cpcgamereviews.com/a/index.html#academy,Academy,CRL,1987,8
5,http://cpcgamereviews.com/a/index.html#ace_of_aces,Ace of Aces,US Gold,1987,5
6,http://cpcgamereviews.com/a/index.html#action_fighter,Action Fighter,Firebird,1989,6
7,http://cpcgamereviews.com/a/index.html#action_force,Action Force,Virgin Games,1988,4
8,http://cpcgamereviews.com/a/index.html#action_service,Action Service,Cobra Soft/Infogrames,1988,5
9,http://cpcgamereviews.com/a/index.html#activator,Activator,Cascade Games,1986,7
10,http://cpcgamereviews.com/a/index2.html#the_addams_family,The Addams Family,Ocean,1992,8
11,http://cpcgamereviews.com/a/index2.html#adidas_championship_football,Adidas Championship Football,Ocean,1990,5
12,http://cpcgamereviews.com/a/index2.html#adidas_championship_tie_break,Adidas Championship Tie Break,Ocean,1990,7
13,http://cpcgamereviews.com/a/index2.html#adios_a_la_casta_episode_1,Adi&oacute;s a la Casta: Episode 1,4Mhz,2016,8
14,http://cpcgamereviews.com/a/index2.html#adios_a_la_casta_episode_2_de_buen_rollo,Adi&oacute;s a la Casta: Episode 2: De Buen Rollo,4Mhz,2016,8
15,http://cpcgamereviews.com/a/index2.html#advanced_pinball_simulator,Advanced Pinball Simulator,Code Masters,1988,6
16,http://cpcgamereviews.com/a/index2.html#adventure_quest,Adventure Quest,Level 9,1984,9
17,http://cpcgamereviews.com/a/index2.html#the_adventures_of_timothy_gunn,The Adventures of Timothy Gunn,CNGSoft,2018,8
18,http://cpcgamereviews.com/a/index2.html#laffaire_santa_fe,L'Affaire Santa Fe,Infogrames,1988,7
19,http://cpcgamereviews.com/a/index2.html#african_trail_simulator,African Trail Simulator,Positive,1990,4
20,http://cpcgamereviews.com/a/index3.html#afterburner,Afterburner,Activision,1988,6
21,http://cpcgamereviews.com/a/index3.html#aftermath,Aftermath,Alternative Software,1988,6
22,http://cpcgamereviews.com/a/index3.html#afteroids,Afteroids,Zigurat,1988,6
23,http://cpcgamereviews.com/a/index3.html#after_the_war,After the War,Dinamic,1989,8
24,http://cpcgamereviews.com/a/index3.html#agent_orange,Agent Orange,A'n'F,1987,5
25,http://cpcgamereviews.com/a/index3.html#agent_x_2,Agent X II,Mastertronic,1987,4
26,http://cpcgamereviews.com/a/index3.html#ahhh,Ahhh!!!,CRL,1984,4
27,http://cpcgamereviews.com/a/index3.html#laigle_dor,L'Aigle d'Or,Loriciels,1986,8
28,http://cpcgamereviews.com/a/index3.html#laigle_dor_le_retour,L'Aigle d'Or: Le Retour,Loriciel,1992,8
